round,device_id,train_loss,num_train_samples
3,8,0.010518643073737621,1922
3,15,0.009017267264425755,2055
3,23,0.009603787213563919,1936
3,12,0.010951878502964973,1284
3,10,0.008450373075902462,1764
3,24,0.00863112136721611,2085
3,16,0.008231064304709435,1719
3,14,0.011880106292665005,1240
3,7,0.010760796256363392,1366
3,29,0.008703581988811493,2276
3,6,0.009499886073172092,1632
3,18,0.008025059476494789,2010
4,22,0.010635877959430218,1359
4,28,0.004690262023359537,2599
4,24,0.005844621453434229,2085
4,27,0.008184117265045643,1178
4,4,0.011033965274691582,942
4,10,0.007274288684129715,1764
4,3,0.00671900762245059,1517
4,14,0.010335151106119156,1240
4,5,0.00865273829549551,1433
4,8,0.007278691977262497,1922
4,0,0.007177948951721191,1723
4,26,0.0072427717968821526,1623
4,12,0.008440514095127583,1284
4,7,0.0072293053381145,1366
4,29,0.006390887778252363,2276
4,2,0.007344917859882116,1310
4,15,0.007280501537024975,2055
4,25,0.003997071646153927,3076
4,16,0.005987331736832857,1719
4,21,0.005717999301850796,2179
4,23,0.007227536756545305,1936
4,9,0.009683939628303051,1377
4,20,0.008032480254769325,1040
4,11,0.009020131081342697,1038
4,13,0.008758743293583393,878
4,6,0.007418298628181219,1632
4,1,0.007658308371901512,1081
4,18,0.00542996171861887,2010
4,19,0.00473018828779459,2341
4,17,0.006517614237964153,2017
5,21,0.003993539605289698,2179
5,27,0.00552273727953434,1178
5,17,0.004755988251417875,2017
5,6,0.004723039455711842,1632
5,29,0.004637700039893389,2276
5,12,0.005915871821343899,1284
5,19,0.0031665696296840906,2341
5,25,0.002868200885131955,3076
5,0,0.004605476278811693,1723
5,4,0.008792301639914513,942
5,20,0.0054880231618881226,1040
5,14,0.007349382620304823,1240
5,15,0.005437912419438362,2055
5,22,0.007873493246734142,1359
5,11,0.006278091575950384,1038
5,3,0.004930778872221708,1517
5,2,0.0049961032345891,1310
5,24,0.00350827700458467,2085
5,16,0.004527755081653595,1719
5,7,0.004853390157222748,1366
5,10,0.004747244995087385,1764
5,13,0.0060591683723032475,878
5,28,0.0034954806324094534,2599
5,26,0.005250534508377314,1623
5,9,0.007333457004278898,1377
5,18,0.003397473832592368,2010
5,23,0.004844967741519213,1936
5,8,0.005527880974113941,1922
5,1,0.0055918144062161446,1081
5,5,0.006114262156188488,1433
6,24,0.002975090406835079,2085
6,7,0.003499831072986126,1366
6,6,0.003691413439810276,1632
6,18,0.002586021553725004,2010
6,28,0.0028231425676494837,2599
6,22,0.0064423782750964165,1359
6,26,0.0037031674291938543,1623
6,10,0.003621378680691123,1764
6,15,0.004308386705815792,2055
6,13,0.004284961149096489,878
6,29,0.0036619086749851704,2276
6,27,0.004198636393994093,1178
6,25,0.0027204356156289577,3076
6,2,0.0033136983402073383,1310
6,11,0.00483409408479929,1038
6,0,0.00405681598931551,1723
6,23,0.0039149075746536255,1936
6,1,0.003823289182037115,1081
6,5,0.0051606185734272,1433
6,14,0.006002092733979225,1240
6,12,0.004591495264321566,1284
6,16,0.0034651660826057196,1719
6,9,0.005282226018607616,1377
6,3,0.0037787084002047777,1517
6,20,0.005031184758991003,1040
6,8,0.004004415590316057,1922
6,19,0.0026722874026745558,2341
6,21,0.003295487491413951,2179
6,17,0.0036474543157964945,2017
6,4,0.006945488043129444,942
7,25,0.002459564944729209,3076
7,1,0.0034016789868474007,1081
7,5,0.003804641542956233,1433
7,29,0.0032807309180498123,2276
