round,device_id,train_loss,test_accuracy,f1_score,num_train_samples,wall_clock_time
5,4,0.0018202326027676463,0.6834,0.8119282404657241,942,926.4159722328186
5,5,0.001068553072400391,0.7754,0.8734932972851189,1433,930.347407579422
5,6,0.0007196110673248768,0.7993,0.8884566220196742,1632,934.3553628921509
5,7,0.0008709334069862962,0.7187,0.8363297841391749,1366,938.2682399749756
5,10,0.0009798574028536677,0.7652,0.8669839111715386,1764,942.3363707065582
5,11,0.0010613917838782072,0.6477,0.7861868058505797,1038,946.0686075687408
5,12,0.0012546791695058346,0.7609,0.8642171616786871,1284,949.9276278018951
5,13,0.0007486301474273205,0.7825,0.8779803646563815,878,953.5472910404205
5,15,0.0011221515014767647,0.8021,0.8901836746018534,2055,957.8266868591309
5,16,0.0010247589088976383,0.7943,0.8853591930000557,1719,961.9344835281372
5,17,0.0008120310958474874,0.8059,0.8925189656127139,2017,966.1402740478516
5,20,0.0009126014192588627,0.7412,0.8513668734206293,1040,969.8998475074768
5,23,0.0012762100668624043,0.7227,0.8390317524815696,1936,974.0916056632996
5,26,0.0010700603015720844,0.7729,0.8719047887641718,1623,978.109382390976
5,27,0.0011263061314821243,0.742,0.851894374282434,1178,981.9256367683411
5,28,0.0007716204272583127,0.8092,0.8945390227724961,2599,986.4545938968658
5,29,0.0007213858189061284,0.7925,0.8842398884239888,2276,990.9482715129852
5,21,0.0006251053418964148,0.8085,0.8941111418302461,2179,995.3042569160461
5,24,0.0006496707792393863,0.8089,0.8943556857758859,2085,999.5549902915955
5,19,0.0007414341671392322,0.7747,0.8730489660224263,2341,1003.965325832367
5,14,0.0016412365948781371,0.6708,0.8029686377783098,1240,1007.7858166694641
5,22,0.0009949164232239127,0.7074,0.8286283237671314,1359,1011.7195837497711
5,2,0.0007876905729062855,0.728,0.8425925925925926,1310,1015.7001016139984
5,8,0.0008680893224664032,0.809,0.894416804864566,1922,1020.0289490222931
5,25,0.0007695004460401833,0.7964,0.88666221331552,3076,1024.9779522418976
5,18,0.0006950129754841328,0.8052,0.8920895191668513,2010,1029.2304315567017
5,9,0.0017455893103033304,0.7321,0.8453322556434386,1377,1033.1240711212158
6,0,0.0008399635553359985,0.7948,0.8856697125027858,1723,1136.1549987792969
6,1,0.0006869398057460785,0.7989,0.888209461337484,1081,1139.9196105003357
6,2,0.0007802170002833009,0.7383,0.8494506126675487,1310,1143.7987639904022
6,4,0.0017361196223646402,0.6953,0.8202677992095795,942,1147.4788863658905
6,5,0.0010667168535292149,0.7589,0.8629256921939849,1433,1151.4438297748566
6,7,0.0007928984123282135,0.715,0.8338192419825073,1366,1155.3133704662323
6,8,0.0008612166857346892,0.805,0.89196675900277,1922,1159.5448892116547
6,11,0.0014124050503596663,0.6568,0.7928536938676968,1038,1163.2590475082397
6,12,0.001343591371551156,0.7677,0.8685862985800759,1284,1167.1321268081665
6,13,0.0006288096192292869,0.7786,0.8755200719667153,878,1170.7518682479858
6,14,0.001536695403046906,0.6643,0.7982935768791685,1240,1174.7465040683746
6,15,0.0009429935598745942,0.8019,0.8900604917032022,2055,1179.1845126152039
6,17,0.000856408616527915,0.8097,0.894844449356247,2017,1183.4817354679108
6,19,0.000726036902051419,0.787,0.880805819809737,2341,1187.9361317157745
6,20,0.000695860362611711,0.7595,0.8633134413185564,1040,1191.739325761795
6,22,0.0010357657447457314,0.6812,0.8103735427075899,1359,1195.6960151195526
6,24,0.0004990791203454137,0.8056,0.8923349579087283,2085,1200.0912020206451
6,25,0.0008199606090784073,0.7929,0.8844888170003905,3076,1205.0005331039429
6,28,0.0006964586791582406,0.8071,0.8932543854794975,2599,1209.6776871681213
6,29,0.0006899721920490265,0.7959,0.8863522467843421,2276,1214.096698999405
6,10,0.001017030910588801,0.7746,0.8729854615124535,1764,1218.256376028061
6,16,0.0009488927898928523,0.791,0.8833054159687326,1719,1222.481085062027
6,3,0.0010795238194987178,0.8039,0.8912910915239203,1517,1226.4883270263672
6,18,0.0006399141275323927,0.808,0.8938053097345133,2010,1230.7966132164001
6,21,0.0008391381707042456,0.8092,0.8945390227724961,2179,1235.258639574051
6,23,0.0010923828231170774,0.7259,0.8411843096355525,1936,1239.5525617599487
6,9,0.0013843042543157935,0.721,0.8378849506101104,1377,1243.5307903289795
6,27,0.0013787663774564862,0.6941,0.8194321468626409,1178,1247.5604846477509
6,6,0.0007478608749806881,0.8056,0.8923349579087283,1632,1251.6853396892548
6,26,0.0010017056483775377,0.7746,0.8729854615124535,1623,1255.7867305278778
